artist,ontour,listeners,playcount
William Onyeabor,0,196616,1954850
The Sorcerers,0,51314,333509
Nomade Orquestra,0,21565,209115
Orgone,0,141954,1312902
King Sunny Ade,0,56978,385706
Calle 13,0,522180,12614235
La BOA,0,2427,9146
IFÁ,0,6219,20486
Whitefield Brothers,0,51506,364115
Brownout,0,56090,482707
BaianaSystem,0,139167,5987526
Voilaaa,0,42507,290783
Hugh Masekela,0,220697,1618733
BaianaSystem,0,139167,5987526
Jor'dan Armstrong,0,8281,74622
The Shaolin Afronauts,0,42036,386237
Manoel Cordeiro,0,2623,14750
Orlando Julius,0,54392,255556
The New Mastersounds,1,174914,2134890
Kutiman,0,118007,1074776
Limoblaze,0,21559,277906
TJ Cream,0,1387,23290
Rehmahz,0,3529,26267
Elikem Kofi,0,977,11042
Dos Santos,0,34259,218101
Zé Bigode Orquestra,0,3037,14103
Limoblaze,0,21559,277906
Foli Griô Orquestra,0,4497,25134
Chief Checker,0,4410,10895
Lo'Jo,0,20730,188200
Pat Kalla,0,9116,42119
The Mauskovic Dance Band,1,37128,237902
BaianaSystem,0,139167,5987526
Eben,0,73315,678441
Ocote Soul Sounds,0,47084,310711
TJ Cream,0,1387,23290
Sharyn,0,1600,11031
Maga Bo,0,26355,140862
The Sugarman 3,0,29407,156201
The Mighty Imperials,0,65748,331549
Lack Of Afro,0,125053,1502014
Zé Bigode Orquestra,0,3037,14103
Ebo Taylor,1,173304,1486113
Kutiman,0,118007,1074776
Akalé Wubé,0,47287,316030
TB1,0,1063,8690
Louis Pascal,0,305,2708
Oneness Of Juju,0,42308,218718
Becca Folkes,0,1167,7457
Greyboy,0,113638,827946
Maga Bo,0,26355,140862
Jlyricz,0,134,41406
Monomono,0,39468,140089
Tony Allen With Africa 70,0,2606,8799
Girma Bèyènè,0,53745,260764
Niña Dioz,0,15125,98284
Geraldo Pino,0,28613,92425
Tony Allen,0,275486,2390614
El Rego,0,22726,113343
BaianaSystem,0,139167,5987526
Antibalas,0,33569,199541
